,portion_size,calories,price,profile_id,respondent_id,question_id,alternative_id,observation_id,company_Shake Shack,company_Wendy’s,type_bundle_premium,type_burger_bacon,type_burger_classic,type_burger_premium,no_choice,choice
205,260,880,29.1,8609,9,4,3,52,0,0,0,0,1,0,0,0.0
206,280,400,20.0,8268,9,4,2,52,1,0,1,0,0,0,0,1.0
207,0,0,0.0,0,9,4,4,52,0,0,0,0,0,0,1,0.0
208,180,950,40.0,4882,9,5,1,53,1,0,0,1,0,0,0,1.0
209,350,650,27.7,8430,9,5,2,53,1,0,1,0,0,0,0,0.0
210,240,450,22.99,2609,9,5,3,53,0,1,0,0,0,0,0,0.0
211,0,0,0.0,0,9,5,4,53,0,0,0,0,0,0,1,0.0
212,0,0,0.0,0,9,6,4,54,0,0,0,0,0,0,1,0.0
213,220,450,40.0,5698,9,6,1,54,1,0,0,0,0,1,0,1.0
214,260,650,38.99,6753,9,6,2,54,1,0,0,0,0,0,0,0.0
215,350,750,22.99,8450,9,6,3,54,1,0,1,0,0,0,0,0.0
216,260,830,22.99,8222,10,1,1,55,1,0,1,0,0,0,0,0.0
217,260,650,30.99,12189,10,1,2,55,0,0,1,0,0,0,0,1.0
218,0,0,0.0,0,10,1,4,55,0,0,0,0,0,0,1,0.0
219,240,650,30.99,165,10,1,3,55,0,1,0,0,1,0,0,0.0
220,200,920,40.2,719,10,2,1,56,0,1,0,1,0,0,0,0.0
221,280,400,20.0,8235,10,2,2,56,1,0,1,0,0,0,0,0.0
222,0,0,0.0,0,10,2,4,56,0,0,0,0,0,0,1,0.0
223,380,880,21.99,10273,10,2,3,56,0,0,0,0,0,1,0,1.0
224,0,0,0.0,0,10,3,4,57,0,0,0,0,0,0,1,1.0
225,240,450,38.99,2613,10,3,1,57,0,1,0,0,0,0,0,0.0
226,200,500,28.1,10495,10,3,2,57,0,0,0,0,0,0,0,0.0
227,200,400,27.7,3198,10,3,3,57,0,1,1,0,0,0,0,0.0
228,240,750,20.0,12327,10,4,3,58,0,0,1,0,0,0,0,0.0
229,220,950,40.2,9875,10,4,2,58,0,0,0,0,0,1,0,0.0
230,380,920,28.1,9409,10,4,1,58,0,0,0,1,0,0,0,0.0
231,0,0,0.0,0,10,4,4,58,0,0,0,0,0,0,1,1.0
232,200,400,20.0,10464,10,5,2,59,0,0,0,0,0,0,0,1.0
233,0,0,0.0,0,10,5,4,59,0,0,0,0,0,0,1,0.0
234,260,500,20.0,2499,10,5,3,59,0,1,0,0,0,0,0,0.0
235,260,400,29.1,11192,10,5,1,59,0,0,0,0,0,0,0,0.0
236,220,400,32.99,3443,10,6,1,60,0,1,1,0,0,0,0,0.0
237,200,750,22.99,11729,10,6,2,60,0,0,1,0,0,0,0,1.0
238,380,400,22.99,5930,10,6,3,60,1,0,0,0,0,1,0,0.0
239,0,0,0.0,0,10,6,4,60,0,0,0,0,0,0,1,0.0
240,0,0,0.0,0,11,1,4,61,0,0,0,0,0,0,1,1.0
241,260,700,40.2,8732,11,1,3,61,0,0,0,0,1,0,0,0.0
242,220,450,28.1,2215,11,1,2,61,0,1,0,0,0,0,0,0.0
243,380,830,40.0,4756,11,1,1,61,1,0,0,0,1,0,0,0.0
244,0,0,0.0,0,11,2,4,62,0,0,0,0,0,0,1,1.0
245,220,500,40.0,5566,11,2,1,62,1,0,0,0,0,1,0,0.0
246,180,920,30.99,5334,11,2,2,62,1,0,0,0,0,1,0,0.0
247,220,500,22.99,10574,11,2,3,62,0,0,0,0,0,0,0,0.0
248,0,0,0.0,0,11,3,4,63,0,0,0,0,0,0,1,0.0
249,260,500,28.1,10939,11,3,1,63,0,0,0,0,0,0,0,0.0
250,180,450,27.7,3090,11,3,2,63,0,1,1,0,0,0,0,0.0
251,380,920,20.0,6048,11,3,3,63,1,0,0,0,0,1,0,1.0
252,240,830,29.1,4427,11,4,1,64,1,0,0,0,1,0,0,1.0
253,220,830,21.99,11977,11,4,2,64,0,0,1,0,0,0,0,0.0
254,220,700,38.99,10761,11,4,3,64,0,0,0,0,0,0,0,0.0
255,0,0,0.0,0,11,4,4,64,0,0,0,0,0,0,1,0.0
256,0,0,0.0,0,11,5,4,65,0,0,0,0,0,0,1,0.0
257,200,830,20.0,5427,11,5,1,65,1,0,0,0,0,1,0,0.0
258,220,400,22.99,3281,11,5,2,65,0,1,1,0,0,0,0,0.0
259,220,830,38.99,9957,11,5,3,65,0,0,0,0,0,1,0,1.0
260,0,0,0.0,0,11,6,4,66,0,0,0,0,0,0,1,0.0
261,220,830,27.7,7746,11,6,2,66,1,0,1,0,0,0,0,0.0
262,350,830,22.99,10094,11,6,1,66,0,0,0,0,0,1,0,1.0
263,240,750,28.1,8491,11,6,3,66,0,0,0,0,1,0,0,0.0
264,350,700,28.1,5056,12,1,2,67,1,0,0,1,0,0,0,0.0
265,350,830,28.1,4669,12,1,3,67,1,0,0,0,1,0,0,0.0
266,0,0,0.0,0,12,1,4,67,0,0,0,0,0,0,1,1.0
267,260,450,28.1,12403,12,1,1,67,0,0,1,0,0,0,0,0.0
268,240,700,29.1,8084,12,2,1,68,1,0,1,0,0,0,0,1.0
269,350,830,20.0,5859,12,2,2,68,1,0,0,0,0,1,0,0.0
270,180,450,29.1,6092,12,2,3,68,1,0,0,0,0,0,0,0.0
271,0,0,0.0,0,12,2,4,68,0,0,0,0,0,0,1,0.0
272,280,400,22.99,11309,12,3,1,69,0,0,0,0,0,0,0,0.0
273,260,920,32.99,131,12,3,2,69,0,1,0,0,1,0,0,0.0
274,260,650,40.2,10991,12,3,3,69,0,0,0,0,0,0,0,0.0
275,0,0,0.0,0,12,3,4,69,0,0,0,0,0,0,1,1.0
276,0,0,0.0,0,12,4,4,70,0,0,0,0,0,0,1,0.0
277,280,400,22.99,2834,12,4,3,70,0,1,0,0,0,0,0,0.0
278,200,830,31.5,1195,12,4,2,70,0,1,0,0,0,1,0,1.0
279,380,880,40.2,9425,12,4,1,70,0,0,0,1,0,0,0,0.0
280,280,650,40.2,2879,12,5,3,71,0,1,0,0,0,0,0,0.0
281,0,0,0.0,0,12,5,4,71,0,0,0,0,0,0,1,0.0
282,380,880,32.99,1784,12,5,1,71,0,1,0,0,0,1,0,0.0
283,240,400,27.7,6558,12,5,2,71,1,0,0,0,0,0,0,1.0
284,0,0,0.0,0,12,6,4,72,0,0,0,0,0,0,1,1.0
285,260,500,28.1,12139,12,6,3,72,0,0,1,0,0,0,0,0.0
286,350,450,21.99,8365,12,6,2,72,1,0,1,0,0,0,0,0.0
287,350,920,40.2,1679,12,6,1,72,0,1,0,0,0,1,0,0.0
288,380,750,38.99,510,13,1,3,73,0,1,0,0,1,0,0,1.0
289,220,500,38.99,6381,13,1,2,73,1,0,0,0,0,0,0,0.0
290,240,950,40.0,10906,13,1,1,73,0,0,0,0,0,0,0,0.0
291,0,0,0.0,0,13,1,4,73,0,0,0,0,0,0,1,0.0
292,260,400,28.1,12355,13,2,2,74,0,0,1,0,0,0,0,0.0
293,280,450,30.99,12489,13,2,3,74,0,0,1,0,0,0,0,1.0
294,0,0,0.0,0,13,2,4,74,0,0,0,0,0,0,1,0.0
295,260,880,40.2,4523,13,2,1,74,1,0,0,0,1,0,0,0.0
296,280,450,21.99,8245,13,3,1,75,1,0,1,0,0,0,0,0.0
297,260,750,30.99,3981,13,3,2,75,0,1,1,0,0,0,0,1.0
298,240,500,40.2,6623,13,3,3,75,1,0,0,0,0,0,0,0.0
299,0,0,0.0,0,13,3,4,75,0,0,0,0,0,0,1,0.0
300,0,0,0.0,0,13,4,4,76,0,0,0,0,0,0,1,0.0
301,240,500,21.99,3820,13,4,1,76,0,1,1,0,0,0,0,0.0
302,260,950,40.0,7030,13,4,2,76,1,0,0,0,0,0,0,0.0
303,240,450,40.2,11051,13,4,3,76,0,0,0,0,0,0,0,1.0
304,220,700,27.7,3486,13,5,1,77,0,1,1,0,0,0,0,0.0
305,0,0,0.0,0,13,5,4,77,0,0,0,0,0,0,1,1.0
306,260,500,21.99,8140,13,5,2,77,1,0,1,0,0,0,0,0.0
307,240,400,27.7,12270,13,5,3,77,0,0,1,0,0,0,0,0.0
308,220,500,21.99,2221,13,6,2,78,0,1,0,0,0,0,0,0.0
309,0,0,0.0,0,13,6,4,78,0,0,0,0,0,0,1,0.0
310,200,950,38.99,4962,13,6,3,78,1,0,0,1,0,0,0,0.0
311,220,830,40.0,1486,13,6,1,78,0,1,0,0,0,1,0,1.0
312,350,880,29.1,5084,14,1,1,79,1,0,0,1,0,0,0,1.0
313,200,450,21.99,7408,14,1,2,79,1,0,1,0,0,0,0,0.0
314,0,0,0.0,0,14,1,4,79,0,0,0,0,0,0,1,0.0
315,380,450,22.99,1709,14,1,3,79,0,1,0,0,0,1,0,0.0
316,0,0,0.0,0,14,2,4,80,0,0,0,0,0,0,1,1.0
317,380,400,20.0,2952,14,2,1,80,0,1,0,0,0,0,0,0.0
318,240,830,20.0,3627,14,2,3,80,0,1,1,0,0,0,0,0.0
319,280,400,21.99,7072,14,2,2,80,1,0,0,0,0,0,0,0.0
320,280,920,30.99,795,14,3,3,81,0,1,0,1,0,0,0,0.0
321,220,650,21.99,11821,14,3,1,81,0,0,1,0,0,0,0,0.0
322,260,830,20.0,3744,14,3,2,81,0,1,1,0,0,0,0,0.0
323,0,0,0.0,0,14,3,4,81,0,0,0,0,0,0,1,1.0
324,0,0,0.0,0,14,4,4,82,0,0,0,0,0,0,1,0.0
325,180,450,38.99,1029,14,4,1,82,0,1,0,0,0,1,0,1.0
326,280,650,30.99,4077,14,4,2,82,0,1,1,0,0,0,0,0.0
327,260,400,30.99,3681,14,4,3,82,0,1,1,0,0,0,0,0.0
328,0,0,0.0,0,14,5,4,83,0,0,0,0,0,0,1,0.0
329,280,880,30.99,363,14,5,1,83,0,1,0,0,1,0,0,0.0
330,220,500,30.99,7701,14,5,2,83,1,0,1,0,0,0,0,0.0
331,220,400,22.99,10670,14,5,3,83,0,0,0,0,0,0,0,1.0
332,180,500,27.7,7338,14,6,1,84,1,0,1,0,0,0,0,0.0
333,180,650,22.99,7346,14,6,3,84,1,0,1,0,0,0,0,1.0
334,0,0,0.0,0,14,6,4,84,0,0,0,0,0,0,1,0.0
335,260,830,22.99,3749,14,6,2,84,0,1,1,0,0,0,0,0.0
336,260,830,27.7,3750,15,1,1,85,0,1,1,0,0,0,0,1.0
337,380,500,31.5,10195,15,1,2,85,0,0,0,0,0,1,0,0.0
338,350,450,40.2,5807,15,1,3,85,1,0,0,0,0,1,0,0.0
339,0,0,0.0,0,15,1,4,85,0,0,0,0,0,0,1,0.0
340,240,920,30.99,66,15,2,2,86,0,1,0,0,1,0,0,0.0
341,350,700,38.99,420,15,2,3,86,0,1,0,0,1,0,0,1.0
342,0,0,0.0,0,15,2,4,86,0,0,0,0,0,0,1,0.0
343,280,920,32.99,8864,15,2,1,86,0,0,0,0,1,0,0,0.0
344,380,950,38.99,9036,15,3,1,87,0,0,0,0,1,0,0,0.0
345,280,700,27.7,738,15,3,2,87,0,1,0,1,0,0,0,0.0
346,260,450,29.1,2696,15,3,3,87,0,1,0,0,0,0,0,1.0
347,0,0,0.0,0,15,3,4,87,0,0,0,0,0,0,1,0.0
348,280,750,22.99,12569,15,4,1,88,0,0,1,0,0,0,0,1.0
349,280,700,22.99,2882,15,4,3,88,0,1,0,0,0,0,0,0.0
350,350,500,21.99,12649,15,4,2,88,0,0,1,0,0,0,0,0.0
351,0,0,0.0,0,15,4,4,88,0,0,0,0,0,0,1,0.0
352,350,750,22.99,12686,15,5,1,89,0,0,1,0,0,0,0,0.0
353,220,400,20.0,2235,15,5,2,89,0,1,0,0,0,0,0,1.0
354,220,920,40.0,5626,15,5,3,89,1,0,0,0,0,1,0,0.0
355,0,0,0.0,0,15,5,4,89,0,0,0,0,0,0,1,0.0
